word;polarity
lindo;1
linda;1
fofo;1
fofa;1
fofos;1
fofas;1
deselegante;-1
tristeza;-1
infelizmente;-1
melhor;1
rápido;1
demais;1
suave;1
legal;1
longo;-1
alto;1
feliz;1
inútil;-1
incrível;1
corrupção;-1
gostoso;1
quieto;-1
bacana;1
beijo;1
baixo;-1
desprezível;-1
pessimista;-1
fanboys;-1
horrendo;-1
preso;-1
inteligente;1
fangirls;-1
superior;1
lindamente;1
excelente;1
estranho;-1
inferior;-1
difícil;-1
nervoso;-1
doloroso;-1
impressionante;1
ótimo;1
ótima;1
raro;1
tenso;-1
rei;1
máfia;-1
racismo;-1
ótimos;1
pressão;-1
ótimas;1
injustiça;-1
justiça;1
lixo;-1
trouxa;-1
sorte;1
velho;-1
inesquecível;1
arrogância;-1
novo;1
sujo;-1
impraticável;-1
decente;1
amém;1
arte;1
guerreiro;1
brilhante;1
grande;1
íntimo;1
amplo;1
quente;-1
nojento;-1
frágil;-1
devagar;-1
sábio;1
aquecimento;-1
amigável;1
interessante;1
magro;1
bem;1
musa;1
reflexão;1
ótimo;1
ótima;1
ótimos;1
ótimas;1
sonho;1
humor;1
emocionante;1
arrogante;-1
seguro;1
sujeira;-1
supremo;1
pleno;1
mongolóide;-1
épico;1
difícil;-1
ruim;-1
caro;-1
ânimo;1
animação;1
pior;-1
graça;1
imperdível;1
ridículo;-1
pranto;-1
mala;-1
preconceito;-1
falto;-1
galera;1
merchandising;-1
devagar;-1
feio;-1
robusto;1
insuportável;-1
pacto;1
amoroso;1
amigo;1
único;1
áspero;-1
superior;1
fácil;1
especial;1
spoiler;-1
barato;1
duro;-1
defeituoso;-1
concreto;1
irônico;-1
triste;-1
leve;1
lento;-1
pequeno;-1
menos;-1
pouco;-1
complexo;-1
volumoso;-1
barulhento;-1
perfeito;1
correto;1
preciso;1
ligeiro;1
bonito;1
bom;1
limpo;1
excepcional;1
sincero;1
esperto;1
desconfortável;-1
desperdício;-1
incorreto;-1
errado;-1
triste;-1
clichê;-1
deprimente;-1
raiva;-1
miséria;-1
verdadeiro;1
sensacional;1
elegante;1
adorável;1
bizarro;-1
burro;-1
chato;-1
cansativo;-1
confuso;-1
difícil;-1
falso;-1
horrível;-1
bobagem;-1
chatice;-1
decepção;-1
defeito;-1
desastre;-1
desconforto;-1
desgraça;-1
droga;-1
erro;-1
exagero;-1
excesso;-1
falta;-1
imaturidade;-1
incômodo;-1
inexperiente;-1
meloso;-1
monótono;-1
nojo;-1
medo;-1
pena;-1
porca;-1
porcaria;-1
problema;-1
superficialidade;-1
aleluia;1
vergonha;-1
alegria;1
divertido;1
beleza;1
bem-estar;1
brilho;1
carisma;1
companheirismo;1
diferencial;1
diversão;1
doçura;1
emoção;1
empatia;1
entusiasmo;1
facilidade;1
favorito;1
genialidade;1
grandeza;1
inteligência;1
originalidade;1
caralho;-1
paixão;1
perfeição;1
prazer;1
preferido;1
melhor;1
talento;1
virtude;1
simpático;1
traste;-1
ridículo;-1
prova;-1
gato;1
ouro;1
mau;-1
caramba;-1
positivo;1
negativo;-1
maravilhoso;1
longe;-1
baboseiras;-1
cosplay;1
melhores;1
fantástico;1
coração;1
obrigação;-1
embora;-1
mal;-1
acomodação;-1
felicidade;1
ladrão;-1
fã;1
limão;-1
azedo;-1
show;1
machista;-1
fé;1
graça;1
parabéns;1
raio;-1
guerra;-1
importante;1
mágico;1
orgulho;1
porra;-1
positivo;1
negativo;-1
saudade;-1
sozinho;-1